Date,Time,Timestamp,Source_IP_Address,Destination_IP_Address,Source_Port,Destination_Port,Protocol,Packet_Length,Packet_Type,Traffic_Type,Anomaly_Scores,Attack_Type,Attack_Signature,Action_Taken,Severity_Level,User_Information,Device_Information,Network_Segment,Geo_location_Data,Log_Source
2022-07-20,13:28:50,2022-07-20 13:28:50,177.21.83.200,196.218.124.169,35538,35006,ICMP,661,Data,HTTP,24.91,Malware,Known Pattern B,Ignored,Medium,Hunar Sem,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; xh-ZA) AppleWebKit/534.25.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.25.1",Segment B,"Gangtok, Haryana",Server
2022-06-26,15:15:50,2022-06-26 15:15:50,92.4.25.171,112.43.185.24,10903,36817,TCP,281,Control,HTTP,86.07,Malware,Known Pattern B,Ignored,Low,Mehul Raj,Opera/8.38.(X11; Linux x86_64; pt-BR) Presto/2.9.175 Version/12.00,Segment B,"Nandyal, Mizoram",Firewall
2020-09-30,21:35:31,2020-09-30 21:35:31,57.91.207.84,98.96.110.38,53471,38048,ICMP,64,Control,DNS,74.2,Intrusion,Known Pattern A,Blocked,Medium,Vaibhav Kala,Opera/8.54.(Windows NT 6.0; tg-TJ) Presto/2.9.170 Version/12.00,Segment B,"Silchar, Kerala",Server
2021-01-13,02:30:18,2021-01-13 02:30:18,80.28.21.123,111.204.103.106,43729,10845,ICMP,1341,Data,HTTP,62.14,Malware,Known Pattern A,Ignored,Low,Siya Gera,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),Segment C,"Gudivada, Odisha",Firewall
2023-02-01,13:17:17,2023-02-01 13:17:17,54.163.130.178,62.112.149.214,47795,35243,UDP,913,Data,DNS,72.65,Malware,Known Pattern B,Logged,High,Inaaya  Soman,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5645-10-22 09:50:59 Firefox/3.8,Segment B,"Silchar, Maharashtra",Firewall
2023-09-15,20:35:21,2023-09-15 20:35:21,130.163.192.252,12.192.2.112,24912,21176,TCP,425,Data,DNS,91.56,Intrusion,Known Pattern B,Logged,Medium,Shaan Subramaniam,Opera/8.85.(X11; Linux x86_64; sk-SK) Presto/2.9.163 Version/11.00,Segment C,"Bhiwandi, Tripura",Firewall
2023-04-18,16:46:46,2023-04-18 16:46:46,4.255.187.165,136.159.186.239,39934,5259,TCP,838,Control,HTTP,43.83,DDoS,Known Pattern B,Ignored,High,Samarth Ratti,Opera/8.72.(Windows NT 6.1; ia-FR) Presto/2.9.160 Version/12.00,Segment B,"Solapur, Telangana",Server
2023-02-21,07:02:55,2023-02-21 07:02:55,212.164.196.41,32.26.31.49,16513,50583,TCP,969,Data,HTTP,40.46,DDoS,Known Pattern A,Logged,Low,Shayak Kapadia,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/46.0.873.0 Safari/536.0",Segment B,"Darbhanga, Mizoram",Firewall
2020-12-29,02:50:47,2020-12-29 02:50:47,119.101.120.119,47.125.34.52,4510,26783,TCP,124,Control,DNS,44.75,DDoS,Known Pattern B,Ignored,High,Faiyaz Sathe,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/4.0),Segment C,"Rampur, Rajasthan",Firewall
2020-07-27,00:00:53,2020-07-27 00:00:53,104.176.150.78,110.80.185.102,55147,17595,TCP,461,Data,HTTP,13.19,DDoS,Known Pattern B,Ignored,High,Zara Sachar,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/18.1i4735.0 Mobile/92M384 Safari/533.2",Segment B,"Ahmednagar, Uttarakhand",Server
2021-07-16,20:45:42,2021-07-16 20:45:42,116.61.253.182,170.92.148.90,24907,37634,ICMP,845,Control,DNS,89.99,Malware,Known Pattern B,Blocked,Medium,Manjari Randhawa,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; an-ES) AppleWebKit/533.41.7 (KHTML, like Gecko) Version/4.0.4 Safari/533.41.7",Segment A,"Kharagpur, West Bengal",Firewall
2022-04-29,14:46:46,2022-04-29 14:46:46,214.247.90.42,196.26.121.164,37998,1757,UDP,410,Control,DNS,86.91,Malware,Known Pattern B,Blocked,Low,Sahil Kapoor,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/4.0 Safari/531.13.4",Segment C,"Tadepalligudem, Rajasthan",Server
2023-02-24,06:39:25,2023-02-24 06:39:25,57.7.171.107,76.146.23.52,3133,46077,UDP,1425,Data,DNS,72.25,DDoS,Known Pattern A,Logged,High,Akarsh Khurana,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),Segment A,"Gaya, Gujarat",Server
2023-09-15,15:43:03,2023-09-15 15:43:03,46.236.76.78,68.194.124.162,40832,28015,UDP,118,Data,HTTP,96.27,Malware,Known Pattern A,Logged,Medium,Dhanush Sagar,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.1),Segment A,"Chandrapur, Chhattisgarh",Firewall
2023-10-06,06:53:51,2023-10-06 06:53:51,71.41.31.239,105.193.254.47,39911,27107,TCP,1386,Control,DNS,67.43,DDoS,Known Pattern A,Blocked,Medium,Anika Sharaf,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1),Segment C,"Guntakal, Rajasthan",Server
2023-10-06,02:37:35,2023-10-06 02:37:35,128.47.86.24,9.149.23.14,23021,31279,UDP,433,Control,DNS,89.86,Intrusion,Known Pattern A,Logged,Low,Drishya Zachariah,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/535.3.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.3.1",Segment C,"Giridih, Assam",Firewall
2021-01-31,03:12:04,2021-01-31 03:12:04,182.232.245.98,153.211.183.215,32552,15521,UDP,531,Control,FTP,87.23,Malware,Known Pattern A,Blocked,High,Renee Ramachandran,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.47.5 (KHTML, like Gecko) Version/5.1 Safari/533.47.5",Segment C,"Katihar, Andhra Pradesh",Firewall
2020-08-28,09:54:45,2020-08-28 09:54:45,208.44.127.159,121.167.40.167,56607,33023,TCP,282,Control,HTTP,44.4,DDoS,Known Pattern A,Logged,Low,Anahi Apte,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),Segment A,"Shahjahanpur, Andhra Pradesh",Firewall
2021-05-29,15:33:51,2021-05-29 15:33:51,197.137.61.248,87.49.219.65,64351,43307,ICMP,1487,Control,HTTP,45.42,Intrusion,Known Pattern B,Blocked,Low,Faiyaz Som,Opera/8.62.(X11; Linux i686; ru-UA) Presto/2.9.184 Version/11.00,Segment C,"Solapur, Madhya Pradesh",Firewall
2022-05-30,18:26:12,2022-05-30 18:26:12,69.60.34.24,160.208.108.125,19954,11594,UDP,563,Control,DNS,25.7,Intrusion,Known Pattern B,Ignored,Medium,Kavya Shenoy,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/61.0.892.0 Safari/533.0",Segment C,"Coimbatore, Telangana",Firewall
2022-08-02,19:15:37,2022-08-02 19:15:37,110.207.118.63,172.36.150.79,63062,49527,TCP,1313,Control,HTTP,69.2,DDoS,Known Pattern B,Logged,Low,Tushar Borra,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/61.0.810.0 Mobile/41V682 Safari/536.0",Segment C,"Serampore, West Bengal",Firewall
2023-01-10,12:29:37,2023-01-10 12:29:37,188.40.103.145,84.139.233.32,39208,61136,UDP,350,Control,HTTP,77.06,DDoS,Known Pattern A,Ignored,Medium,Mannat Goyal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.44.6 (KHTML, like Gecko) Version/5.0 Safari/535.44.6",Segment A,"Gudivada, Karnataka",Firewall
2020-10-15,19:05:37,2020-10-15 19:05:37,99.8.190.190,91.166.229.253,12932,47900,TCP,373,Data,DNS,3.87,Malware,Known Pattern A,Ignored,Medium,Tushar Shenoy,Opera/9.76.(X11; Linux i686; ha-NG) Presto/2.9.181 Version/12.00,Segment B,"Nellore, Tripura",Server
2021-06-09,18:55:30,2021-06-09 18:55:30,128.62.6.140,4.104.218.143,11482,16459,ICMP,1155,Control,DNS,25.93,Malware,Known Pattern A,Blocked,Low,Jiya Devan,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/45.0.897.0 Safari/533.2",Segment B,"Ludhiana, Goa",Firewall
2020-07-08,08:08:54,2020-07-08 08:08:54,211.43.37.93,93.146.128.133,18768,8138,TCP,521,Data,FTP,60.57,DDoS,Known Pattern B,Ignored,High,Yasmin Balan,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.1v4161.0 Mobile/63G518 Safari/532.2",Segment C,"Orai, Tamil Nadu",Server
2023-09-23,19:07:33,2023-09-23 19:07:33,203.171.62.228,27.5.94.221,41615,15184,ICMP,1346,Data,FTP,67.73,Intrusion,Known Pattern A,Blocked,Low,Bhavin Chaudhari,Mozilla/5.0 (Android 7.1; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,Segment A,"Jaunpur, Uttar Pradesh",Server
2022-05-22,03:10:27,2022-05-22 03:10:27,115.120.220.179,72.56.150.150,34512,40467,UDP,1311,Control,DNS,75.16,DDoS,Known Pattern B,Blocked,Medium,Aniruddh Dani,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.4h8714.0 Mobile/30G353 Safari/534.2",Segment C,"Hubli–Dharwad, Chhattisgarh",Firewall
2022-06-04,20:45:18,2022-06-04 20:45:18,140.29.40.43,61.57.62.247,28975,5960,UDP,117,Control,FTP,75.46,Malware,Known Pattern B,Logged,Low,Eva Dalal,Mozilla/5.0 (Android 1.0; Mobile; rv:45.0) Gecko/45.0 Firefox/45.0,Segment B,"Sagar, Mizoram",Server
2022-12-29,23:42:12,2022-12-29 23:42:12,76.128.95.185,142.92.111.242,46111,15554,TCP,1271,Control,HTTP,49.03,Malware,Known Pattern B,Logged,Medium,Nehmat Joshi,Opera/8.48.(Windows NT 6.0; mt-MT) Presto/2.9.171 Version/12.00,Segment C,"Medininagar, Gujarat",Firewall
2023-03-14,07:27:32,2023-03-14 07:27:32,118.23.216.0,109.17.204.56,5032,1068,TCP,308,Control,DNS,85.28,Intrusion,Known Pattern A,Blocked,Medium,Ojas Ray,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/10.8u7697.0 Mobile/58J944 Safari/534.2",Segment A,"Ichalkaranji, Sikkim",Server
2021-02-13,16:45:36,2021-02-13 16:45:36,212.153.110.146,59.138.247.230,58316,54095,TCP,545,Data,DNS,6.44,DDoS,Known Pattern B,Ignored,Medium,Ela Guha,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ber-DZ) AppleWebKit/535.35.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.35.7",Segment A,"Bidar, Maharashtra",Firewall
2021-05-23,16:29:26,2021-05-23 16:29:26,6.64.251.220,137.104.11.138,26896,45972,UDP,572,Control,DNS,22.17,DDoS,Known Pattern B,Ignored,Low,Keya Biswas,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0),Segment B,"Dewas, Uttar Pradesh",Server
2022-12-01,08:47:07,2022-12-01 08:47:07,170.112.189.99,21.28.78.79,1031,40417,TCP,1474,Control,HTTP,29.66,DDoS,Known Pattern B,Logged,Low,Trisha Rajagopal,"Mozilla/5.0 (Linux; Android 4.4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/16.0.840.0 Safari/534.2",Segment A,"Adoni, Tripura",Firewall
2022-07-21,20:33:30,2022-07-21 20:33:30,50.30.140.36,76.154.100.68,57124,48417,UDP,1363,Data,FTP,10.75,Intrusion,Known Pattern A,Blocked,High,Farhan Mahal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.24.5 (KHTML, like Gecko) Version/5.0.4 Safari/531.24.5",Segment A,"Eluru, Uttarakhand",Server
2023-06-09,05:57:13,2023-06-09 05:57:13,194.120.14.24,201.55.168.126,32979,3852,UDP,443,Data,DNS,42.14,Malware,Known Pattern B,Ignored,High,Zara Kar,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.3.20) Gecko/2197-07-11 00:07:59 Firefox/14.0,Segment A,"Parbhani, Rajasthan",Server
2020-04-10,18:21:31,2020-04-10 18:21:31,69.29.17.248,85.236.61.31,59738,44531,TCP,1026,Data,FTP,77.73,DDoS,Known Pattern B,Logged,Low,Samar Loyal,Opera/9.51.(X11; Linux i686; byn-ER) Presto/2.9.185 Version/12.00,Segment A,"Panvel, West Bengal",Firewall
2023-05-16,13:01:56,2023-05-16 13:01:56,170.211.138.30,172.97.181.148,25022,6593,TCP,554,Control,DNS,97.82,Malware,Known Pattern B,Blocked,High,Aradhya Kamdar,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; sk-SK) AppleWebKit/531.45.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6531.45.6",Segment A,"Amravati, Kerala",Firewall
2020-10-08,04:34:34,2020-10-08 04:34:34,107.247.253.62,45.35.146.21,10584,23178,ICMP,649,Data,HTTP,83.36,Intrusion,Known Pattern A,Blocked,High,Hansh Chaudhari,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/7083-06-02 15:24:24 Firefox/3.6.9,Segment C,"Vijayawada, Bihar",Server
2021-08-20,14:42:57,2021-08-20 14:42:57,118.175.170.127,43.100.128.47,23934,57206,TCP,1378,Control,DNS,40.71,Malware,Known Pattern A,Blocked,Medium,Nishith Tandon,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.1),Segment C,"Giridih, Chhattisgarh",Firewall
2021-05-08,04:56:17,2021-05-08 04:56:17,16.65.249.237,24.79.26.247,57819,10509,ICMP,107,Data,HTTP,1.33,DDoS,Known Pattern B,Ignored,High,Ishita Tella,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.0),Segment A,"Nashik, Assam",Firewall
2023-01-18,01:12:24,2023-01-18 01:12:24,122.130.86.58,110.54.165.63,49005,19289,ICMP,317,Data,HTTP,56.92,DDoS,Known Pattern A,Ignored,Low,Mohanlal Talwar,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.0),Segment A,"Medininagar, Himachal Pradesh",Server
2021-04-16,12:48:40,2021-04-16 12:48:40,193.45.37.6,191.56.96.54,56497,23998,ICMP,875,Data,HTTP,0.9,DDoS,Known Pattern B,Blocked,High,Aradhya Yadav,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.30.2 (KHTML, like Gecko) Version/5.0 Safari/532.30.2",Segment B,"Tiruppur, Nagaland",Server
2022-04-28,14:18:26,2022-04-28 14:18:26,68.123.14.202,168.106.24.90,32348,12619,UDP,576,Data,DNS,77.7,DDoS,Known Pattern A,Blocked,Low,Samarth Shenoy,Opera/8.62.(X11; Linux i686; niu-NZ) Presto/2.9.168 Version/10.00,Segment B,"Siliguri, Haryana",Firewall
2023-02-20,06:41:55,2023-02-20 06:41:55,19.14.168.54,68.144.93.235,23870,21385,TCP,619,Data,FTP,67.56,Intrusion,Known Pattern B,Logged,High,Siya Singhal,Opera/9.85.(Windows NT 6.0; cmn-TW) Presto/2.9.161 Version/11.00,Segment B,"Tiruppur, Bihar",Server
2020-12-13,02:43:04,2020-12-13 02:43:04,168.159.245.149,211.64.146.125,46895,63852,TCP,1224,Data,HTTP,91.82,Malware,Known Pattern A,Logged,Medium,Urvi Jani,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/3684-05-05 05:03:25 Firefox/3.6.10,Segment C,"Guntur, Tamil Nadu",Server
2022-08-20,07:46:57,2022-08-20 07:46:57,22.96.76.59,43.219.176.9,11468,31398,TCP,632,Data,FTP,50.13,Malware,Known Pattern A,Logged,Low,Faiyaz Singh,Mozilla/5.0 (Windows NT 6.1; uk-UA; rv:1.9.0.20) Gecko/8087-10-21 04:44:05 Firefox/4.0,Segment C,"Bhimavaram, Assam",Firewall
2022-05-23,04:50:39,2022-05-23 04:50:39,163.93.76.114,36.148.218.135,30954,3615,UDP,670,Control,HTTP,41.53,Intrusion,Known Pattern B,Blocked,Low,Piya Gole,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2 rv:3.0; ve-ZA) AppleWebKit/531.23.7 (KHTML, like Gecko) Version/4.1 Safari/531.23.7",Segment A,"Hazaribagh, Uttar Pradesh",Server
2020-01-12,11:01:33,2020-01-12 11:01:33,37.225.176.201,204.179.190.185,59009,28541,ICMP,88,Data,HTTP,91.21,DDoS,Known Pattern B,Blocked,High,Anaya Anand,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/51.0.812.0 Safari/534.2",Segment C,"Vadodara, Himachal Pradesh",Server
2021-03-24,09:50:44,2021-03-24 09:50:44,123.233.44.106,154.223.194.82,38169,9878,TCP,1497,Control,HTTP,82.8,Malware,Known Pattern B,Ignored,Low,Tara Deol,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/531.34.5 (KHTML, like Gecko) Version/5.0 Safari/531.34.5",Segment C,"Bhatpara, West Bengal",Server
2020-01-12,19:33:29,2020-01-12 19:33:29,158.145.58.183,82.213.128.111,35384,2184,ICMP,304,Data,DNS,78.85,Intrusion,Known Pattern A,Ignored,High,Romil Sami,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; zu-ZA) AppleWebKit/534.7.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.7.3",Segment A,"Noida, Mizoram",Firewall
2021-10-08,21:42:19,2021-10-08 21:42:19,193.109.94.146,189.14.24.22,22371,4914,ICMP,1001,Data,HTTP,50.69,DDoS,Known Pattern A,Ignored,Low,Zoya Guha,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/6952-11-18 03:21:41 Firefox/3.8,Segment A,"Hospet, Assam",Firewall
2022-08-17,19:20:40,2022-08-17 19:20:40,122.108.169.214,7.195.147.252,10510,4024,UDP,1352,Data,HTTP,75.3,Malware,Known Pattern A,Logged,High,Farhan Bail,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/20.0.803.0 Mobile/91J888 Safari/533.1",Segment B,"Madanapalle, Odisha",Server
2022-08-17,02:04:53,2022-08-17 02:04:53,64.58.36.254,179.161.134.184,57482,1091,UDP,548,Data,FTP,33.08,DDoS,Known Pattern B,Blocked,Low,Lavanya Sachdeva,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; et-EE) AppleWebKit/532.16.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.16.5",Segment C,"Kalyan-Dombivli, Gujarat",Server
2020-03-10,04:31:21,2020-03-10 04:31:21,61.217.244.146,167.60.226.61,7703,19110,UDP,1114,Data,DNS,7.27,Intrusion,Known Pattern A,Logged,High,Baiju Bandi,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; eu-FR) AppleWebKit/532.17.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.17.5",Segment B,"Visakhapatnam, Maharashtra",Server
2022-11-20,17:53:28,2022-11-20 17:53:28,21.23.245.141,135.172.206.155,33992,31136,TCP,149,Data,DNS,76.68,DDoS,Known Pattern B,Ignored,Low,Kanav Datta,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.40.6 (KHTML, like Gecko) Version/4.0.2 Safari/533.40.6",Segment A,"Singrauli, Telangana",Server
2022-11-17,22:12:24,2022-11-17 22:12:24,183.2.17.209,205.172.143.0,55666,4791,TCP,548,Data,FTP,36.22,Intrusion,Known Pattern B,Logged,Medium,Stuvan Sinha,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) CriOS/30.0.872.0 Mobile/84N386 Safari/535.1",Segment C,"Begusarai, Uttarakhand",Firewall
2022-01-08,09:48:37,2022-01-08 09:48:37,89.234.123.19,180.17.247.177,20947,24568,UDP,1106,Control,HTTP,13.36,Malware,Known Pattern A,Logged,High,Mamooty Bhandari,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/6118-09-02 08:00:39 Firefox/3.6.3,Segment C,"Pallavaram, Haryana",Firewall
2020-03-03,01:54:03,2020-03-03 01:54:03,157.164.90.122,7.220.81.96,38322,33655,UDP,1290,Control,FTP,69.01,Intrusion,Known Pattern B,Ignored,Low,Keya Basak,Mozilla/5.0 (Android 6.0; Mobile; rv:58.0) Gecko/58.0 Firefox/58.0,Segment B,"Alwar, Gujarat",Server
2021-02-15,05:17:05,2021-02-15 05:17:05,123.185.30.222,22.188.5.93,15973,29809,UDP,190,Data,DNS,4.74,DDoS,Known Pattern B,Logged,High,Divit Sharaf,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/58.0.863.0 Mobile/85V830 Safari/531.1",Segment A,"Thane, Arunachal Pradesh",Firewall
2020-09-13,01:49:45,2020-09-13 01:49:45,185.157.240.136,107.0.155.243,5107,60905,ICMP,995,Control,DNS,51.66,Malware,Known Pattern A,Logged,High,Shray Agrawal,Opera/9.38.(Windows 95; tn-ZA) Presto/2.9.189 Version/11.00,Segment C,"Bangalore, Uttar Pradesh",Firewall
2022-12-25,07:20:06,2022-12-25 07:20:06,195.177.54.54,50.191.236.203,15067,58291,TCP,1342,Control,HTTP,83.86,Intrusion,Known Pattern A,Blocked,High,Saksham Bansal,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_9 rv:4.0; nb-NO) AppleWebKit/533.40.5 (KHTML, like Gecko) Version/5.1 Safari/533.40.5",Segment B,"Tinsukia, Meghalaya",Firewall
2021-01-27,22:49:34,2021-01-27 22:49:34,221.219.44.103,36.211.253.244,18782,24516,ICMP,722,Data,HTTP,79.61,Malware,Known Pattern A,Ignored,Medium,Emir Krishnan,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_0; rv:1.9.4.20) Gecko/7376-12-15 19:07:42 Firefox/3.8,Segment C,"Coimbatore, Tamil Nadu",Firewall
2023-05-30,17:14:15,2023-05-30 17:14:15,86.165.141.178,19.155.138.245,44364,53766,ICMP,1181,Control,DNS,14.95,Malware,Known Pattern B,Blocked,Low,Vritika Shukla,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_2 rv:4.0; ti-ET) AppleWebKit/533.22.7 (KHTML, like Gecko) Version/5.0.4 Safari/533.22.7",Segment A,"Howrah, Sikkim",Server
2020-06-30,01:24:54,2020-06-30 01:24:54,70.228.121.60,204.219.67.217,11307,36569,TCP,907,Control,DNS,12.1,Malware,Known Pattern B,Logged,Medium,Zaina Ganguly,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/5.1),Segment B,"Varanasi, Telangana",Firewall
